room_id,rows,mae_y_target_temp_main,mae_y_target_temp_toilet,mae_y_target_light,mae_y_target_sound,airflow_accuracy,airflow_f1
55,38,2.492855921052632,11.654512289473683,12.650707723684212,7.176801302631578,0.2631578947368421,0.4166666666666667
56,32,2.3158231249999996,11.21469190625,15.391694953125,11.36245953125,0.28125,0.43902439024390244
57,30,2.170518866666666,10.948523816666667,12.656731933333335,7.858307466666665,0.2,0.3333333333333333
58,35,2.1764043714285717,10.867453957142855,13.412569342857145,8.7519085,0.3142857142857143,0.4782608695652174
59,34,2.685071588235294,11.340223147058824,14.401187235294117,9.674333779411764,0.20588235294117646,0.34146341463414637
60,34,2.305761058823529,11.354354088235295,12.737342308823528,8.862014617647059,0.35294117647058826,0.5217391304347826
61,45,2.4675472666666667,11.659654888888888,18.029161488888885,8.884865211111112,0.3333333333333333,0.5
62,33,2.875802787878788,11.161452984848486,18.506604833333338,12.44498446969697,0.3333333333333333,0.5
63,36,2.2923859166666665,11.212906722222222,17.463314986111115,8.941449722222222,0.4444444444444444,0.6153846153846154
64,30,2.7929244,10.797181933333333,11.93009745,9.14049583333333,0.3333333333333333,0.5
65,22,2.9464511818181816,10.913731363636362,15.868611068181819,10.483249704545454,0.18181818181818182,0.3076923076923077
66,32,2.6770009687500003,10.837459578125,15.021403265624999,8.25998703125,0.40625,0.5777777777777777
67,41,2.7375290000000003,11.280668536585365,16.927988987804877,10.638454500000002,0.24390243902439024,0.39215686274509803
68,36,2.0982256388888896,11.064102194444445,13.637889861111113,9.468360888888888,0.4166666666666667,0.5882352941176471
69,29,2.9448374482758624,11.405656931034482,11.861091086206896,10.491675137931033,0.3793103448275862,0.55
70,32,2.98611578125,11.53582209375,15.02462340625,8.42157046875,0.3125,0.47619047619047616
71,39,2.703594846153846,11.254383974358973,18.56140187179487,10.335069512820512,0.2564102564102564,0.40816326530612246
72,31,2.5593108709677415,11.063398354838712,20.89178001612903,10.00367985483871,0.3225806451612903,0.4878048780487805
73,32,3.1785283437500005,11.756845218750001,17.3064121875,9.900036593749999,0.28125,0.43902439024390244
74,39,2.3539119230769234,11.140411474358975,13.475420705128208,8.644276153846153,0.28205128205128205,0.44
75,31,2.477836516129032,11.444792854838708,15.607373854838707,9.002964870967743,0.25806451612903225,0.41025641025641024
76,35,2.965076171428571,11.165141899999998,17.748823085714285,9.929440914285715,0.2857142857142857,0.4444444444444444
77,32,2.41157215625,11.1848245,14.8225708125,6.734676875,0.28125,0.43902439024390244
78,40,3.0025699749999997,11.693139775,17.903649675,8.56546445,0.3,0.46153846153846156
79,46,2.330971521739131,11.138973163043477,13.359778945652174,7.929046347826086,0.30434782608695654,0.4666666666666667
80,42,2.695529,11.219579071428573,16.43854755952381,9.86798076190476,0.30952380952380953,0.4727272727272727
81,39,2.6156044358974357,11.581678435897436,16.087273987179486,10.285407628205126,0.4358974358974359,0.6071428571428571
82,36,2.6785431944444444,11.199611305555555,14.213154111111113,10.040956402777777,0.2222222222222222,0.36363636363636365
83,24,2.311881083333333,11.521174395833333,11.591143604166668,9.276075666666665,0.2916666666666667,0.45161290322580644
84,40,2.4824987750000003,11.2104497,15.391946899999999,10.600614325,0.275,0.43137254901960786
85,46,2.025081152173913,11.01588047826087,13.574641163043475,8.452214858695651,0.2391304347826087,0.38596491228070173
86,39,2.4955825897435897,11.12423291025641,13.02069914102564,8.64242291025641,0.15384615384615385,0.26666666666666666
87,31,2.2633088064516125,11.023137516129031,16.537357532258067,10.963440548387098,0.45161290322580644,0.6222222222222222
88,30,2.270622066666666,11.022039416666667,13.895220916666663,8.11891585,0.3333333333333333,0.5
89,32,2.9477713125000005,11.523679890625,14.395600718750002,7.85107278125,0.28125,0.43902439024390244
90,38,2.886770026315789,11.257987763157896,17.602004842105263,11.414343171052632,0.3157894736842105,0.48
91,40,2.20834425,11.051328875,14.122552225000002,8.477264312500001,0.4,0.5714285714285714
92,39,2.621118333333333,10.703527346153848,16.386252474358976,9.105643525641025,0.41025641025641024,0.5818181818181818
93,36,2.5126824166666673,10.807970416666667,15.965354541666667,9.548973930555555,0.3888888888888889,0.56
94,45,2.6022745777777776,11.3125615,16.521427344444447,11.487856955555554,0.37777777777777777,0.5483870967741935
95,27,2.9810746296296293,11.345634481481481,16.512974222222223,9.45824461111111,0.3333333333333333,0.5
96,26,2.810249692307692,10.95532805769231,14.453407884615384,9.092241173076923,0.4230769230769231,0.5945945945945946
97,36,2.543833805555556,11.263833125,16.16117705555555,7.770630652777778,0.2777777777777778,0.43478260869565216
98,27,2.377562,11.050179685185187,14.778510425925926,9.342499444444444,0.25925925925925924,0.4117647058823529
99,36,2.446476333333333,10.995112722222224,13.154836569444445,8.814175624999997,0.3611111111111111,0.5306122448979592
100,20,2.7798429500000004,11.211679975,16.019786025000002,10.11407265,0.25,0.4
101,31,2.607003129032259,11.574002822580647,15.385354048387098,8.447322177419355,0.3870967741935484,0.5581395348837209
102,36,2.684083472222223,11.323192777777779,19.438911694444442,10.211634055555555,0.2222222222222222,0.36363636363636365
103,38,2.5768102368421055,11.095272210526314,16.98956911842105,11.390502671052632,0.2631578947368421,0.4166666666666667
104,34,2.865188558823529,11.100151279411765,17.100110323529414,10.122448279411765,0.2647058823529412,0.4186046511627907
105,35,3.1419469142857137,11.475668185714284,14.243094928571427,9.868190985714286,0.2571428571428571,0.4090909090909091
106,40,2.7346581,11.383183825,12.351027812500002,9.83368535,0.225,0.3673469387755102
107,38,2.5238664473684205,11.065954605263158,12.079825631578947,9.517316105263157,0.2894736842105263,0.4489795918367347
108,27,3.061626925925925,11.524650814814814,12.898473518518516,8.100598481481482,0.37037037037037035,0.5405405405405406
109,31,2.7418924516129026,11.322133870967738,12.664402741935483,6.141117532258066,0.2903225806451613,0.45
110,34,2.3781725294117644,10.971526455882355,14.040075397058823,8.1903335,0.38235294117647056,0.5531914893617021
111,35,2.4001398857142857,11.239333199999999,13.950360400000001,9.40714732857143,0.37142857142857144,0.5416666666666666
112,33,2.514403515151516,11.303727484848485,15.106201318181817,9.30650325757576,0.3333333333333333,0.5
113,35,2.5248839142857142,11.0930545,15.965208128571428,10.188480814285715,0.3142857142857143,0.4782608695652174
114,34,2.8749363235294125,11.014257470588237,17.46214373529412,9.540924338235293,0.4411764705882353,0.6122448979591837
115,26,2.5953499999999994,10.938054826923075,17.39157996153846,8.89522453846154,0.3076923076923077,0.47058823529411764
116,39,2.121441564102564,10.9227155,12.686104538461539,9.217820717948715,0.2564102564102564,0.40816326530612246
117,32,2.69502828125,11.343661765625,16.099786296875,9.218096484375,0.375,0.5454545454545454
118,32,2.1269113437499994,11.20964459375,13.684808765625,8.783707,0.3125,0.47619047619047616
119,47,2.9738135957446814,11.476423712765957,15.653946542553193,8.107081882978722,0.2553191489361702,0.4067796610169492
120,38,2.3588049736842107,11.077291157894736,12.422944092105263,9.134514171052631,0.34210526315789475,0.5098039215686274
121,36,2.5225072777777786,10.992920041666668,14.208819111111112,8.79429013888889,0.4166666666666667,0.5882352941176471
122,35,3.0163146857142857,11.436486442857143,14.876359614285713,10.75940287142857,0.34285714285714286,0.5106382978723404
123,36,2.615104222222222,11.325986166666667,15.812420722222221,8.52419140277778,0.25,0.4
124,34,2.9929867647058828,11.513551264705882,13.610523764705883,11.314588455882353,0.17647058823529413,0.3
125,30,2.8346242000000004,11.13415361666667,16.6400329,10.826600533333334,0.36666666666666664,0.5365853658536586
126,33,2.6591784848484847,11.105884575757578,14.804469636363638,9.764296742424241,0.42424242424242425,0.5957446808510638
127,28,2.8084322857142854,11.12189667857143,15.818432964285714,10.097208839285715,0.2857142857142857,0.4444444444444444
128,40,2.7641231750000004,11.573329475,17.1799576375,11.103840012499997,0.225,0.3673469387755102
129,31,2.473125645161291,11.449025516129034,12.841174483870969,8.442478887096774,0.22580645161290322,0.3684210526315789
