feature,delta_composite_loss,delta_airflow_f1,delta_mae_y_target_temp_main,delta_mae_y_target_temp_toilet,delta_mae_y_target_light,delta_mae_y_target_sound
active_med_21,-4.004812957703052e-05,0.0,-2.1930490435639882e-05,-6.402060050092473e-06,-4.583380780331936e-05,-8.602616002129082e-05
trigger_med_5,-4.129353283488513e-05,0.0,-8.823380098110789e-06,1.5395552424024572e-06,-8.021258273949172e-05,-7.767772374300819e-05
active_med_7,-4.429892386070833e-05,0.0,-5.5809133075790385e-05,2.915394727409648e-06,-3.956844440722307e-05,-8.473351269344676e-05
trigger_med_13,-6.017201394570293e-05,0.0,-6.011989575949173e-06,3.2240796574711794e-06,-9.213034278587884e-05,-0.0001457698030780108
gender_binary,-6.617207175096951e-05,0.0,-0.00018267809990257788,-4.077282932613002e-06,-1.7582231905066692e-05,-6.035067226939361e-05
prev_target_airflow,-8.282875622711572e-05,0.0,2.5156453808961032e-08,3.7860436723491375e-06,-0.00014145341775240183,-0.00019367280728488367
active_med_1,-0.00011250031382203929,0.0,-4.102281141449282e-05,3.717895486587963e-06,-0.0001584334238380336,-0.00025426291552044233
bp_diastolic,-0.0002381216788371887,0.0,-0.0002875240388635625,-4.620563737844918e-05,-0.0012030146846662149,0.0005842576455563631
prev_target_temp_main,-0.0006452867455237765,0.0,-0.0006832413595012632,-0.0002334383243702831,-0.0007347558586285885,-0.0009297114395927508
hours_since_last_comfort,-0.0029169971990441468,0.0,-0.0008794495221322585,-7.34366583383661e-05,-0.00961752461569887,-0.001097578000004873
weight,-0.003464148076776752,0.0,-0.013939686927648687,-0.00034748869953027395,0.0025744684679018803,-0.002143885147825486
prev_target_sound,-0.0036559362311407995,0.0,-0.003927347368024581,-0.0007621895562266445,-0.00429490927676035,-0.00563929872356006
height,-0.004758935529395103,0.0,-0.007929656515425432,-9.894182566050347e-05,-0.0039657951026761395,-0.007041348673821446
prev_target_light,-0.006395002449504972,0.0,-0.0044428690176152585,-0.000705329018400036,-0.009599330351043989,-0.010832481410961492
